check_id,source_name,method_family,requested_claim,allowed_claim_level,enforcement_status,reason,action_taken,evidence_path,run_timestamp_utc
Stage 2-1,FI-2010,Stage 2,exact_queue_position,controlled_mechanics_validation,fail,Claim exceeds configured capability.,blocked_claim,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
Stage 2-2,FI-2010,Stage 2,empirical_execution_cost,controlled_mechanics_validation,fail,Claim exceeds configured capability.,blocked_claim,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
Stage 2-3,controlled_calibrated_simulation,Stage 2,controlled_mechanics_validation,controlled_mechanics_validation,pass,Allowed within capability.,claim_allowed,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
Stage 2-4,controlled_calibrated_simulation,Stage 2,empirical_market_impact,controlled_mechanics_validation,fail,Claim exceeds configured capability.,blocked_claim,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
Stage 2-5,Databento_MBO_optional,Stage 2,exact_queue_position,controlled_mechanics_validation,fail,Claim exceeds configured capability.,blocked_claim,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
Stage 2-6,LOBSTER_sample,Stage 2,parser_reconstruction_sample,controlled_mechanics_validation,pass,Allowed within capability.,claim_allowed,reports/tables/data_capability_matrix.csv,2026-06-27T15:31:49.657799+00:00
